L1M1C1;L1M1C2;L1M1C3;L1M1C4;L1M1C5;L1M1C6;L1M1C7;L1M1C8
1,951;1,927;1,77;1,878;1,917;1,795;1,907;1,819
1,888;1,853;1,765;1,844;1,897;1,716;1,873;1,756
1,951;1,912;1,834;1,917;1,941;1,8;1,878;1,839
1,892;1,878;1,814;1,824;1,873;1,702;1,858;1,77
1,873;1,858;1,76;1,858;1,878;1,765;1,844;1,76
1,829;1,78;1,716;1,785;1,824;1,643;1,756;1,663
1,966;1,98;1,912;1,995;1,985;1,824;1,932;1,878
1,927;1,897;1,853;1,902;1,99;1,775;1,922;1,844
1,951;1,922;1,77;1,878;1,917;1,79;1,912;1,819
1,888;1,853;1,76;1,844;1,892;1,716;1,873;1,756
1,951;1,912;1,829;1,917;1,941;1,8;1,878;1,839
1,892;1,878;1,809;1,824;1,873;1,697;1,858;1,77
1,868;1,858;1,756;1,858;1,878;1,765;1,839;1,756
1,824;1,78;1,716;1,785;1,824;1,643;1,76;1,663
